PCUSerialNumber,WO_Requested,WO_WO#,WO_Type,ActiveStartTime,ActiveStopTime,TotalInfusionTime,TotalEqActiveTime
12992579,2020-02-04,650755,CECM,2020-01-27 10:08:10,2020-01-27 14:53:37,34254,34254
12992579,2020-04-30,665148,CECM,2020-02-20 00:43:19,2020-04-13 03:05:33,865765,1214424
12992579,2020-06-25,674753,CECM,2020-05-04 15:51:38,2020-06-02 09:01:20,1106126,1420002
12992579,2020-08-19,682316,CEIN,2020-07-01 13:58:59,2020-08-17 14:36:12,72435,215364
12992579,2020-08-21,684015,CECM,2020-08-19 13:22:59,2020-08-20 15:16:58,8683,19929
12992579,2020-11-06,695816,CECM,2020-09-06 10:10:54,2020-10-20 13:30:19,2079828,2621715
12992579,2021-02-11,711010,CECM,2020-11-10 20:01:20,2020-12-31 03:19:15,1987859,2216303
13922892,2020-05-13,666456,CECM,2020-01-01 00:19:33,2020-05-07 15:04:02,63596824,81461888
13922892,2020-07-15,676633,CECM,2020-05-14 18:59:35,2020-07-14 18:44:58,6190341,7266006
13922892,2020-12-20,701817,CEIN,2020-07-21 08:58:48,2020-12-19 23:39:36,15296702,18516348
13922892,2021-12-20,761688,CEIN,2020-12-19 14:21:41,2020-12-28 19:23:32,758226,854904
13923251,2020-03-23,659684,CECM,2020-01-01 00:01:02,2020-03-13 07:33:06,28196988,41300248
13923251,2020-05-19,667395,CEIN,2020-04-16 16:26:39,2020-05-14 17:08:14,856978,997516
13923251,2020-11-16,696552,CECM,2020-05-20 12:35:29,2020-11-11 05:59:03,8006553,9827324
13923251,2021-05-19,728044,CEIN,2020-11-18 12:34:37,2020-12-31 21:04:37,3291035,4099141
13923294,2020-05-19,667404,CEIN,2020-01-07 19:15:14,2020-05-18 22:24:09,28193058,35401761
13923294,2020-10-07,690529,CECM,2020-05-18 22:24:09,2020-10-01 15:51:01,16628312,20084184
13923294,2020-11-16,696549,CECM,2020-10-09 15:02:48,2020-11-10 09:53:15,1060996,1239359
13923294,2021-05-19,728053,CEIN,2020-11-18 18:06:26,2020-12-31 16:19:34,1769298,2320195
13923299,2020-04-06,660801,CECM,2020-01-06 12:14:52,2020-03-29 16:09:40,5415160,7285683
13923299,2020-06-19,672834,CEIN,2020-04-10 22:08:08,2020-06-18 23:09:01,4302838,5473133
13923299,2020-09-02,685148,CECM,2020-06-19 03:21:22,2020-08-31 22:22:46,1947176,2747188
13923299,2021-06-19,733115,CEIN,2020-09-05 15:55:56,2020-12-29 14:39:00,18218415,21220557
13923356,2020-04-10,661120,CECM,2020-01-01 00:05:33,2020-04-07 10:02:44,2734954,3205201
13923356,2020-05-19,667416,CEIN,2020-05-01 17:31:32,2020-05-18 22:20:13,2055434,2514394
13923356,2020-07-26,679013,CECM,2020-05-17 21:12:13,2020-07-24 15:46:40,3015586,3783750
13923356,2020-07-26,679012,CECM,2020-05-17 21:12:13,2020-07-24 15:46:40,3015586,3783750
13923356,2020-09-28,689246,CECM,2020-08-08 22:14:40,2020-09-26 08:46:08,2608681,3479543
